aootype,aookey,aooname,expend,charity_count,subsidiary_count,income
D,33.0,BURKINA FASO,277657886.8493151,135,147,280948256.2356164
D,34.0,BURUNDI,42118210.15616438,138,385,42050236.05479452
D,35.0,CAMBODIA,23264778.849315066,154,165,25132615.90684932
D,36.0,CAMEROON,1701902044.5123284,186,232,1728060361.1945205
D,37.0,CANADA,1289037512.0082185,272,387,1290111699.249315
D,38.0,CAPE VERDE,6604943.383561643,91,94,4717755.405479452
D,40.0,CENTRAL AFRICAN REPUBLIC,75440093.17534247,120,131,77223136.77808219
D,41.0,CHAD,85660353.85479453,110,132,88913824.44109589
D,42.0,CHILE,1096003226.7643833,121,380,1093418628.8931508
D,43.0,CHINA,1456614984.3424656,235,556,1469233268.5452054
D,44.0,COLOMBIA,1011946102.041096,133,143,1006709696.6082191
D,45.0,COMOROS,5725349.849315068,81,84,3704196.906849315
D,46.0,REPUBLIC OF CONGO,17480676.12328767,146,155,19252051.561643843
D,48.0,COSTA RICA,70498452.77534248,86,102,71346708.90684932
D,49.0,CROATIA,1033617262.8657535,143,184,1028463352.5041097
D,50.0,CUBA,1007639704.7260275,85,94,1002424684.849315
D,51.0,CYPRUS,1403516462.1643834,155,496,1412038857.2821918
D,52.0,CZECH REPUBLIC,1280695530.5972602,162,190,1283137164.715068
D,53.0,DENMARK,1050452927.4082191,173,202,1044414715.0767125
D,54.0,DJIBOUTI,399130988.38630146,109,115,421583433.2383562
D,55.0,DOMINICA,462853073.15890414,85,121,490100851.1534246
D,56.0,DOMINICAN REPUBLIC,17427309.849315066,86,95,19203196.90684932
D,57.0,ECUADOR,76826147.10958906,118,367,82753588.68767124
D,58.0,EGYPT,1255794852.8739724,173,601,1265224770.2575343
D,59.0,EL SALVADOR,36415166.28767122,94,116,38868153.07123288
D,60.0,EQUATORIAL GUINEA,8771489.84931507,86,90,6774874.906849314
D,61.0,ERITREA,32037848.83561644,108,117,30068911.591780826
D,62.0,ESTONIA,1011651592.7780823,113,123,1006653240.0082192
D,63.0,ETHIOPIA,1244468058.4849312,271,521,1252730294.3945203
D,66.0,FIJI,27912000.06849315,84,146,28244333.057534255
D,67.0,FINLAND,1018358864.7232877,146,160,1013711993.7561644
D,68.0,FRANCE,1624572621.0520546,400,773,1652176268.4931507
D,71.0,GABON,22650676.12328767,109,118,21906051.561643843
D,72.0,GAMBIA,411825877.72328776,220,261,426079843.1698629
D,74.0,GEORGIA,1021453116.9123288,108,356,1016438280.2054795
D,75.0,GERMANY,1474172449.1123288,333,434,1472200492.687671
D,76.0,GHANA,1612986818.4136982,415,932,1635567727.5808218
D,78.0,GREECE,1352233482.369863,235,272,1364900507.0630133
D,80.0,GRENADA,151298930.13424656,81,114,160549408.260274
D,83.0,GUATEMALA,36714848.983561635,96,108,39185996.8739726
D,85.0,GUINEA,488079195.78356165,114,136,505585255.6986301
D,86.0,GUINEA-BISSAU,205020508.32602742,97,101,204470753.66849315
D,87.0,GUYANA,179664039.48767123,111,185,190964867.04383564
D,88.0,HAITI,293081720.39178085,130,151,310413281.969863
D,89.0,HONDURAS,36415166.28767122,89,98,38868153.07123288
D,91.0,HUNGARY,1060360081.6027398,150,188,1057920691.0739728
D,92.0,ICELAND,97832990.64657535,100,120,103739663.93424658
D,93.0,INDIA,1776762807.843835,819,1427,1794756040.8547947
D,94.0,INDONESIA,1409727113.9835615,191,524,1416500770.7534244
D,95.0,IRAN,1129119762.6602738,107,114,1132302122.868493
D,96.0,IRAQ,1266957648.1835616,159,170,1277000247.8821917
D,97.0,ISRAEL,1138072938.7315066,356,628,1139032637.2876713
D,98.0,ITALY,1436243329.1890411,269,342,1446430269.3917809
D,99.0,IVORY COAST,480673003.47671235,139,150,496787595.0383561
D,100.0,JAMAICA,1240555468.4520547,149,239,1251968996.5534246
D,101.0,JAPAN,1307678691.8958902,144,434,1316531236.7534246
D,103.0,JORDAN,1233289756.868493,160,408,1240116133.947945
D,104.0,KAZAKHSTAN,1199941059.7671232,92,117,1205265746.6931505
D,105.0,KENYA,1948272182.9178076,611,1084,1975968420.1726031
D,106.0,KIRIBATI,6144993.684931506,69,141,3777703.7561643836
D,107.0,KUWAIT,1223953272.7589042,97,107,1229078707.7315068
D,108.0,KYRGYZSTAN,18456303.580821913,86,96,20354602.515068498
D,109.0,LAOS,17420349.849315066,103,112,19196196.90684932
D,110.0,LATVIA,1017643340.2876712,117,130,1013379981.6493151
D,111.0,LEBANON,1431923709.435616,157,419,1457951968.958904
D,112.0,LESOTHO,457081639.67671233,122,310,485592597.4410958
D,113.0,LIBERIA,639384141.1315069,148,219,656810657.2246577
D,114.0,LIBYA,989278186.2493153,98,101,982489485.3095891
D,115.0,LIECHTENSTEIN,1434943.383561644,80,83,2063755.405479452
D,116.0,LITHUANIA,1021174893.8630137,115,125,1014940780.041096
D,117.0,LUXEMBOURG,89146972.9150685,111,117,91295836.62465756
D,119.0,MACEDONIA,1005238185.3835617,117,127,999848734.4054794
D,120.0,MADAGASCAR,96674110.41095892,137,634,97008940.53972603
D,122.0,MALAWI,1453340813.4027395,270,504,1462538433.090411
D,123.0,MALAYSIA,1374657631.4164376,163,527,1383666444.1260276
D,124.0,MALDIVES,143861141.6191781,82,113,150897945.26849318
D,125.0,MALI,271845076.12328774,120,131,275063563.8904109
D,126.0,MALTA,1298145352.1835616,137,478,1305801530.8164382
D,127.0,MARSHALL ISLANDS,555349.8493150685,66,69,1050196.9068493152
D,129.0,MAURITANIA,5729884.12328767,93,96,3716094.5616438356
D,130.0,MAURITIUS,1282622807.2383559,125,169,1287582688.3123286
D,132.0,MEXICO,1080252192.5835614,135,152,1081060868.3068492
D,133.0,MICRONESIA,17420349.849315066,70,121,19196196.90684932
D,134.0,MOLDOVA,27102191.832876712,113,123,29440758.60821918
D,135.0,MONACO,32050943.38356164,85,90,31224755.405479457
D,136.0,MONGOLIA,341591421.5095891,95,108,360084107.5287671
D,138.0,MOROCCO,1056928907.6356164,132,142,1055309967.720548
D,139.0,MOZAMBIQUE,1426805867.2849312,183,275,1430389299.9452055
D,140.0,BURMA,1421073025.9013693,163,389,1445950947.369863
D,141.0,NAMIBIA,1226330784.1616437,143,373,1230296230.4383562
D,142.0,NAURU,6144993.684931506,68,140,3777703.7561643836
D,143.0,NEPAL,1425636409.5178077,296,564,1444167308.879452
D,144.0,NETHERLANDS,1211140255.0273974,226,318,1207084157.356164
D,147.0,NEW ZEALAND,1366829807.5616434,176,387,1378413510.690411
D,148.0,NICARAGUA,17420349.849315066,93,102,19196196.90684932
D,149.0,NIGER,75464637.54794522,122,133,77259902.78082192
D,150.0,NIGERIA,1450933769.076712,403,701,1456564901.8684933
D,152.0,NORTH KOREA,259463506.62739727,71,76,275315775.2739726
D,154.0,NORWAY,1152968829.3369865,156,187,1150756588.7616436
D,155.0,OMAN,1134733214.868493,86,90,1136101957.452055
D,156.0,PAKISTAN,1857091851.504109,375,839,1883594759.9671235
D,157.0,PALAU,555349.8493150685,65,68,1050196.9068493152
D,159.0,PANAMA,76383164.09589042,86,98,81049470.33150686
D,160.0,PAPUA NEW GUINEA,236227059.10958904,94,177,240301598.96986303
D,161.0,PARAGUAY,31105969.99178082,86,343,35939024.128767125
D,162.0,PERU,1064973355.7671236,146,413,1060860893.6712329
D,163.0,PHILIPPINES,1726021960.2136981,213,704,1755787323.3369863
D,164.0,POLAND,1185535155.6821916,203,236,1187682779.1095889
D,165.0,PORTUGAL,1217840504.1013699,176,449,1221075503.5315065
D,167.0,QATAR,1143768377.5150683,91,123,1144420677.0904112
D,168.0,REPUBLIC OF IRELAND,1688419917.8849313,358,609,1703714910.6849315
D,170.0,ROMANIA,1213130336.630137,331,604,1218661995.449315
D,171.0,RUSSIA,1230950268.0630136,211,553,1235994773.783562
D,172.0,RWANDA,1024995018.8630139,208,482,1016012524.5890411
D,174.0,ST KITTS-NEVIS,18400951.471232876,74,104,18685139.263013706
D,175.0,ST LUCIA,166559402.75890413,82,114,178196622.90136987
D,176.0,ST VINCENT AND GRENADINES,18705055.02191781,82,113,18877805.958904117
D,177.0,SAMOA,6144993.684931506,70,142,3777703.7561643836
D,178.0,SAN MARINO,1434943.383561644,74,77,2063755.405479452
D,179.0,SAO TOME AND PRINCIPE,5725349.849315068,87,90,3704196.906849315
D,180.0,SAUDI ARABIA,1245194143.3013701,102,123,1249668683.216438
D,181.0,SENEGAL,1468866724.39726,141,153,1480511281.591781
D,182.0,SEYCHELLES,178152099.40547946,97,134,186605380.7753425
D,183.0,SIERRA LEONE,1660279904.0986297,264,691,1673843300.4246578
D,184.0,SINGAPORE,1305100469.416438,137,581,1319626278.5972605
D,185.0,SLOVAKIA,1145743857.3178082,118,129,1149825236.9178083
D,186.0,SLOVENIA,1170908151.287671,117,128,1178680762.7945204
D,187.0,SOLOMON ISLANDS,11968285.63013699,75,161,7984713.038356164
D,188.0,SOMALIA,357301920.7945206,212,219,381438973.8575342
