aootype,aookey,aooname,expend,charity_count,subsidiary_count,income
B,49.0,WIGAN,16291181.942465754,356,485,16411077.871232877
B,50.0,KNOWSLEY,17061696.21917808,360,523,17549676.536986303
B,51.0,LIVERPOOL CITY,24862924.167123288,682,936,24430736.02739726
B,52.0,SEFTON,21065054.112328768,463,646,21468196.712328766
B,53.0,ST HELENS,17358153.2630137,377,547,17822387.871232875
B,54.0,WIRRAL,17158105.21917808,500,736,18367602.016438358
B,55.0,BARNSLEY,441627.1369863014,349,399,428138.2356164383
B,56.0,DONCASTER,580092.1835616438,379,465,1648127.898630137
B,57.0,ROTHERHAM,741624.1369863014,322,398,1682218.2356164383
B,58.0,SHEFFIELD CITY,5255060.934246575,627,663,5448089.805479452
B,59.0,GATESHEAD,3976224.3643835615,411,450,4054133.920547945
B,60.0,NEWCASTLE UPON TYNE CITY,14996435.704109587,520,563,14580960.117808217
B,61.0,NORTH TYNESIDE,6038518.284931508,374,410,5425815.208219179
B,62.0,SOUTH TYNESIDE,5229309.093150685,331,362,3846702.3315068493
B,63.0,SUNDERLAND,7797209.413698631,391,420,6954136.419178083
B,64.0,BIRMINGHAM CITY,51896636.10958905,1082,1537,51329348.40547946
B,65.0,COVENTRY CITY,8652462.306849316,522,581,9227037.857534247
B,66.0,DUDLEY,10028500.906849315,539,612,10435264.043835618
B,67.0,SANDWELL,11315464.556164384,490,540,11868720.865753425
B,68.0,SOLIHULL,23633241.024657536,458,784,31539261.191780824
B,69.0,WALSALL,7285452.265753425,498,549,7950619.975342466
B,70.0,WOLVERHAMPTON,10907931.715068493,543,614,11037381.419178082
B,71.0,BRADFORD CITY,11614357.731506849,612,711,12352015.14520548
B,72.0,CALDERDALE,834171.5863013698,443,489,1182896.7452054794
B,73.0,KIRKLEES,5741450.372602738,580,650,6860386.580821918
B,74.0,LEEDS CITY,36563322.101369865,744,839,37090108.46849315
B,75.0,CITY OF WAKEFIELD,565945.1534246575,448,507,525282.4493150685
B,76.0,NOTTINGHAM CITY,1212720.4082191782,290,344,1363245.290410959
B,101.0,CENTRAL BEDFORDSHIRE,223141634.63561645,521,645,254094639.2410959
B,102.0,BUCKINGHAMSHIRE,287138223.2438356,886,1102,323041199.2273973
B,103.0,CAMBRIDGESHIRE,47919189.98630137,970,1134,55561673.0
B,104.0,CHESHIRE EAST,39029759.158904105,847,1133,39980093.610958904
B,105.0,CORNWALL,11024732.605479453,930,1048,14354706.978082193
B,106.0,CUMBRIA,4695444.021917809,1022,1197,4582484.002739726
B,107.0,DERBYSHIRE,33869317.18082191,1077,1320,38924550.624657534
B,108.0,DEVON,12666885.8630137,1512,1791,14797511.863013703
B,109.0,DORSET,38888517.901369855,975,1058,43889540.31232876
B,110.0,DURHAM,14234644.265753424,722,827,13343350.42739726
B,111.0,EAST SUSSEX,65054503.13698631,985,1073,69828499.76438355
B,112.0,ESSEX,41526570.01643837,1721,1979,44510278.66575343
B,113.0,GLOUCESTERSHIRE,102200364.54520547,1045,1302,108812865.32602741
B,114.0,HAMPSHIRE,43328614.58630138,1508,1767,46635085.290410966
B,115.0,HERTFORDSHIRE,121496571.98630136,1197,1480,136791009.09041095
B,116.0,ISLE OF WIGHT,81488.03835616438,276,287,55580.687671232874
B,117.0,KENT,81948658.86849314,1994,2269,93799205.31780821
B,118.0,LANCASHIRE,51474408.884931505,1563,1906,52693640.02465755
B,119.0,LEICESTERSHIRE,13166602.783561641,977,1148,13787433.079452056
B,120.0,LINCOLNSHIRE,22490881.98082192,1027,1165,23511493.605479456
B,121.0,NORFOLK,19130427.501369864,1311,1520,20951600.901369862
B,122.0,NORTH YORKSHIRE,54000836.295890406,1299,1559,53589222.13424658
B,123.0,NORTHAMPTONSHIRE,230429513.4821918,819,911,261475102.16164386
B,124.0,NORTHUMBERLAND,8179229.189041098,645,776,7776627.273972603
B,125.0,NOTTINGHAMSHIRE,29491792.12876712,892,990,30390473.975342464
B,126.0,OXFORDSHIRE,55441050.11506848,1014,1347,60102010.4520548
B,127.0,POWYS,53481.12602739726,187,240,56569.2602739726
B,128.0,SHROPSHIRE,14656650.315068495,671,814,15427970.857534247
B,129.0,SOMERSET,21712308.526027404,1142,1274,22525506.23835616
B,130.0,STAFFORDSHIRE,22420097.61369863,1098,1550,22324498.05479452
B,131.0,SUFFOLK,43174681.9890411,1222,1393,50817520.786301374
B,132.0,SURREY,101812848.09863013,1596,1878,107092454.30958904
B,133.0,WARWICKSHIRE,51051990.400000006,840,930,55015535.12328767
B,134.0,WEST SUSSEX,80234118.38082191,995,1188,72655540.15342467
