aootype,word,aookey,aooname,subsidiary_count,charity_count,income,expend
A,promote,3.0,THROUGHOUT WALES,305,277,780033.0,949999.0
A,promotion,3.0,THROUGHOUT WALES,70,59,6443893.063013699,6864683.627397261
A,provide,3.0,THROUGHOUT WALES,242,228,0.0,0.0
A,provision,3.0,THROUGHOUT WALES,316,244,7595555.063013699,8064421.627397261
A,public,3.0,THROUGHOUT WALES,594,489,7215530.063013699,7814082.627397261
A,relief,3.0,THROUGHOUT WALES,226,198,6830331.443835617,7124596.326027398
A,relieve,3.0,THROUGHOUT WALES,155,147,771637.0,949399.0
A,trustees,3.0,THROUGHOUT WALES,113,94,0.0,0.0
A,advance,4.0,THROUGHOUT LONDON,846,702,6490212.873972604,5373579.290410958
A,advancement,4.0,THROUGHOUT LONDON,420,333,1088636.2767123287,1013130.9917808219
A,apply,4.0,THROUGHOUT LONDON,63,54,5798.0,5533.0
A,assist,4.0,THROUGHOUT LONDON,171,151,,
A,benefit,4.0,THROUGHOUT LONDON,825,627,57824549.23835616,49453517.74794522
A,charitable,4.0,THROUGHOUT LONDON,733,470,91634632.29863013,81752547.86849315
A,charitys,4.0,THROUGHOUT LONDON,66,66,319966.5890410959,272974.9890410959
A,educate,4.0,THROUGHOUT LONDON,43,40,20673.523287671233,21609.909589041097
A,enhance,4.0,THROUGHOUT LONDON,23,23,,
A,general,4.0,THROUGHOUT LONDON,125,114,20000143.339726027,18000523.599999998
A,income,4.0,THROUGHOUT LONDON,120,86,4951244.950684932,5380211.030136986
A,object,4.0,THROUGHOUT LONDON,218,194,,
A,objects,4.0,THROUGHOUT LONDON,417,316,1166596.5506849317,887099.2000000001
A,pay,4.0,THROUGHOUT LONDON,23,20,,
A,prevention,4.0,THROUGHOUT LONDON,124,79,291789.35890410957,238742.02191780822
A,promote,4.0,THROUGHOUT LONDON,470,384,1899194.290410959,1748506.3808219177
A,promotion,4.0,THROUGHOUT LONDON,181,163,256748.5890410959,205678.9890410959
A,provide,4.0,THROUGHOUT LONDON,314,254,5957703.682191781,5178098.4547945205
A,provision,4.0,THROUGHOUT LONDON,932,601,26651010.408219177,26119534.783561647
A,public,4.0,THROUGHOUT LONDON,876,637,5922606.161643837,5324690.312328766
A,relief,4.0,THROUGHOUT LONDON,638,482,139860239.6219178,138560069.57534248
A,relieve,4.0,THROUGHOUT LONDON,429,353,398935.21369863016,444000.5068493151
A,trustees,4.0,THROUGHOUT LONDON,496,338,20505743.41917808,18238665.98082192
B,advance,1.0,BRACKNELL FOREST,82,70,49422224.65753425,43880449.31506849
B,advancement,1.0,BRACKNELL FOREST,51,44,1148000.0,848000.0
B,apply,1.0,BRACKNELL FOREST,4,4,,
B,assist,1.0,BRACKNELL FOREST,16,13,49422224.65753425,43880449.31506849
B,benefit,1.0,BRACKNELL FOREST,73,57,50495682.441095896,44574822.747945204
B,charitable,1.0,BRACKNELL FOREST,110,69,50832722.509589046,44970357.73150685
B,educate,1.0,BRACKNELL FOREST,7,7,,
B,education,1.0,BRACKNELL FOREST,158,123,50832722.509589046,44970357.73150685
B,enable,1.0,BRACKNELL FOREST,19,19,,
B,enhance,1.0,BRACKNELL FOREST,16,15,,
B,general,1.0,BRACKNELL FOREST,18,15,1027000.0,642000.0
B,help,1.0,BRACKNELL FOREST,11,11,,
B,improve,1.0,BRACKNELL FOREST,14,14,,
B,income,1.0,BRACKNELL FOREST,10,9,29937.753424657534,34112.28493150685
B,main,1.0,BRACKNELL FOREST,9,9,,
B,maintenance,1.0,BRACKNELL FOREST,12,12,1298207.8520547946,892148.4164383562
B,object,1.0,BRACKNELL FOREST,12,11,,
B,objects,1.0,BRACKNELL FOREST,30,24,,
B,pay,1.0,BRACKNELL FOREST,3,3,29937.753424657534,34112.28493150685
B,payment,1.0,BRACKNELL FOREST,3,3,,
B,poor,1.0,BRACKNELL FOREST,42,14,292435.60547945206,276020.701369863
B,preservation,1.0,BRACKNELL FOREST,7,7,,
B,preserve,1.0,BRACKNELL FOREST,5,5,,
B,prevention,1.0,BRACKNELL FOREST,7,6,1148000.0,848000.0
B,promote,1.0,BRACKNELL FOREST,59,50,,
B,promoting,1.0,BRACKNELL FOREST,19,17,1148000.0,848000.0
B,promotion,1.0,BRACKNELL FOREST,15,13,49422224.65753425,43880449.31506849
B,provide,1.0,BRACKNELL FOREST,63,51,,
B,providing,1.0,BRACKNELL FOREST,35,28,,
B,provision,1.0,BRACKNELL FOREST,87,55,50572053.65753425,44712243.31506849
B,public,1.0,BRACKNELL FOREST,78,58,,
B,purpose,1.0,BRACKNELL FOREST,50,19,50570224.65753425,44728449.31506849
B,purposes,1.0,BRACKNELL FOREST,89,52,50841432.509589046,44978597.73150685
B,recreation,1.0,BRACKNELL FOREST,9,8,,
B,relief,1.0,BRACKNELL FOREST,76,59,1440435.605479452,1124020.701369863
B,relieve,1.0,BRACKNELL FOREST,51,35,1243.0,3027.0
B,relieving,1.0,BRACKNELL FOREST,3,3,,
B,see,1.0,BRACKNELL FOREST,12,12,1056937.7534246575,676112.2849315068
B,support,1.0,BRACKNELL FOREST,46,35,122829.0,189794.0
B,towards,1.0,BRACKNELL FOREST,5,5,,
B,trustees,1.0,BRACKNELL FOREST,35,30,49467439.441095896,43929795.747945204
B,work,1.0,BRACKNELL FOREST,18,16,49684722.509589046,44122357.73150685
B,advance,2.0,WEST BERKSHIRE,115,102,54529.19452054794,42794.43287671233
B,advancement,2.0,WEST BERKSHIRE,55,48,1148000.0,848000.0
B,apply,2.0,WEST BERKSHIRE,4,4,,
B,assist,2.0,WEST BERKSHIRE,23,21,,
B,benefit,2.0,WEST BERKSHIRE,109,87,1028243.0,645027.0
B,charitable,2.0,WEST BERKSHIRE,131,85,10713647.747945206,9741336.756164383
